,평점,일시,감상평
566,6,2020.06.04 22:49,"스토리 나쁘지 않고 연출력, 배우 연기력도 좋았습니다. 고구마 먹은거 같은 답답함도 잘 표현했구요. 진부하진 않았으나 어느정도 예측 가능한 결말이었다는 점이 살짝 아쉽습니다. 그렇다고 너무 큰 반전을 노리면 그것도 그것대로 개연성을 잃는다 생각하기에 이 영화처럼 적절하게 마무리하는것도 나쁘지 않아보였습니다 "
567,8,2020.06.04 18:28,중반까지는 좋았는데 후반갈수록..클리셰가 ..
568,1,2020.06.09 19:36,"진짜 장난하나.. 이걸 영화라고 만드냐?중후반에 김무열 경찰이 잡아갈때, 그 난리 피우면서 차에 태우더만 혼자 뒷자리에 태우고 경찰 둘은 앞에타냐?? 우와 진짜 개판투성인 영화"
569,3,2020.06.09 16:32,중반까지는 넘나리 스릴러물같고 좋았는데예산이 부족했나봐요 마지막은 개판이던데..배우들 연기도 좋고 음향도 좋았는데으음 스토리가..
570,1,2020.06.09 15:51,근3년간 본영화중 최악.김무열좋아해서 봣는데 이건뭔.. ㅋㅋㅋㅋ 진짜 개답답하고 스토리전개 막장에;;
571,1,2020.06.09 01:55,진짜 돈 아깝네요. 지루하고 전개도 이상함. 제목을 보면 무슨 내용인지 알 수 있엎반전도 없음
572,4,2020.06.08 12:42,이건 뭐;;  곧 집에서 볼 수 있을듯..
573,10,2020.06.08 11:08,아쉬운 부분은 있지만 다음 작품 나오면 또 찾아볼것같아염 조연들도 아는얼굴들이 꽤 나와서 신기했던ㅋㅋ
574,8,2020.06.08 10:36,그래도 이시국에 어렵게 영화 내놓았는데 손익분기점만 넘게 해줍시다...ㅎ 저는 그냥 송지효 나온다길래 봤어요. 근데 손익 분기점 100만 넘어야되나 Hoxy..?
575,1,2020.06.08 07:00,평점 0.1은 없어여???
576,1,2020.06.08 02:50,딱 초반만 흥미진진하고 그 이후론 다 억지..다 예상가는데 너무 억지스러워서 예상하기도 싫은정도..
577,1,2020.06.08 00:03,손학규 따님 다운 영화 코로나 틈타 1위 손학규는 애매할 때 보따리 들고 민주당 와서 1위
578,10,2020.06.06 22:40,재밌었어요 송배우 중저음 목소리가 케릭터 자체가 어울렸어요 결말이 좀 아쉬워요
579,4,2020.06.06 20:27,중반까지 괜찮은 스릴감을 보여주며 잘 나아가다 후반부터 뜬금없는 기승전 사이비 종교물... 연출 스타일이 진짜 아리 에스터의 유전을 갖다 베껴서 그대로 빼다 박음ㅋㅋ
580,10,2020.06.06 20:03,전 송지효 님 연기를 제대로 본 건 이번이 처음인데 정말 좋더라고요. 특유의 낮은 음성이 영화의 분위기를 끌어가는데 너무너무 잘 어울렸습니다. 그리고 김무열 님은 기억의 밤에서 처음 보았는데 악인전을 거쳐 이번 영화에서도 역시 뛰어난 연기를 선보여주셨습니다. 두 분의 연기가 매우 매력적인 영화입니다. 
581,3,2020.06.06 15:52,그냥 겟아웃에서 끝났어야했다
582,8,2020.06.06 01:22,초중반까진 긴장감있고 좋았는데 뒤로갈수록ㅠㅠ 이도저도 아닌느낌ㅠㅠ 송지효 김무열 연기는 좋았어요
583,6,2020.06.05 13:24,같이보는 누군가에게 사과하고 싶으시면 이 영화를 함께 보세요.
584,10,2020.06.05 12:19,"송지효,김무열 배우의 연기가 대박이었음 보는 내내 소름 끼침"
585,10,2020.06.05 10:53,탄탄한 스토리! 정말 재밌게 보고왔습니다
586,10,2020.06.05 10:40,근래에 본 영화 중 최고였습니다 송지효씨 연기 대박이에요ㅠㅜ
587,10,2020.06.05 10:31,가족스릴러라길래 집에서 무슨일 벌어지는줄 알았는데 남매끼리 의심. 보는 사람도 추리하는 맛이있다
588,6,2020.06.04 21:55,왜 아무도 김무열한테 사과안하냐
589,10,2020.06.04 19:50,송지효 미친년으로나오니까 재밌네요
590,6,2020.06.04 15:10,초반은 서스펜스도 잘 쌓아가고 연출도 나쁘진 않으나 후반은 그야말로 엉망. 로즈마리의 아기나 유전 등의 수작 공포영화의 레퍼런스를 그대로 따와 만든 독창성 없는 작품. 중후반이 생각할수록 너무 아쉽다. 김무열과 송지효의 연기로 그나마 극에 생명력을 불어넣는다. 이 둘의 뛰어난 연기로 그나마 볼만한 작품이 되었다. 김무열은 이제 믿고 보는 배우로 등극! 
591,1,2020.06.09 21:24,정말재미없습니다 돈날리지마세요
592,10,2020.06.08 23:24,오랜만에 정말 재밌는 영화 흥미진진해서 눈을 뗄수 없었어요
593,1,2020.06.08 11:44,진부한 소재.. 찝찝한 결말.. 이런 영화 안나왔으면.
594,1,2020.06.08 03:18,댓글알바들이 많네요 후반부까지 고구마 100개 먹은것만큼 답답하다가 급전개하더니 끝나버리네요.
595,1,2020.06.08 02:45,위대한쇼맨 아무생각없이 조조로 보다가 감동폭풍받고 필받아 바로 요즘대세라는 침입자 보러갔다 딥슬립~~~ 아주 상쾌하게 잘 잤습니다.
596,8,2020.06.08 01:25,나쁘지않음 스토리는 간간히 애매한 느낌이들기도함
597,4,2020.06.07 02:32,"초반부, 배우는 좋음. 거기까지. 솔직히 보면서 송지효,김무열로 이거밖에 안되나 싶었음. 긴장되다가 터트리지 못하고 그 긴장상태만 유지되서 김 샘."
598,1,2020.06.06 17:16,극장 비수기를 틈타 나온 최악의 영화. 뇌를 비우고 본다면 버틸 수 있을까말까. 개연성을 이미 버리고 시작한 감독 지 맘대로 만든 개똥영화.
599,4,2020.06.05 21:26,진짜 할말이 없습니다... 스토리 뭐냐 이게...
600,4,2020.06.05 20:21,영화 평점 잘 안메기는데 알바가 확실히 있네요. 영화편집도 진짜 말도안되고 그냥 말이 나무 안돼요 고구마 백개.... 솔직히 너무 별롭니다
601,6,2020.06.05 10:12,"정말 재밌게봤어요???말도안되는억지부분이많던데,,연기는 정말 잘했지만 스토리가,,"
602,10,2020.06.04 22:03,무서운거 좋아하는 나한텐 ㄹㅇ 인생영화.맨날 무섭다 해놓고 하나도 안 무서워서 실망했는데 이거는 진짜 대박임.이렇게 빠져든 영화 첨이다 역시 갓원평 감독님
603,3,2020.06.08 01:58,왜 긴장이 되냐면 이제 끝나나!? 드디어!? 이런 긴장감이 듭니다. 스토리는 예상대로 흘러가고요. 송지효 연기가 인상 깊었어요. 되게 궁금하게끔 연기를 잘 해주신 듯 합니다. 그렇지만 영화를 살면서 단 한번도 본 적이 없는 분이 아닌 이상 뒷 내용이 궁금하진 않을 것 같아요. 
604,1,2020.06.07 22:33,산으로 가는 스토리. 유치한 설정과 개연성 떨어지는 전개에 당황도 잠시 배우들의 연기력 케미는 일절없다
605,2,2020.06.07 14:38,연기빼고 볼것없음. 무슨얘길하려는건지.. 의도는 알겠으나 너무 엉성함. 차라리 난 조현병 다루는 영화였길 바랐음.. 그게 오히려 말도안되고 재미도없고 놀랍지도않은 일들을 설명하기에 납득이될것같앗음
606,1,2020.06.07 13:09, 6월 6일 안산 cgv 19시20분.영화 평점조작 알바가 원래 있는건 알았지만그게 심각한수준인걸 다시 깨달았습니다.이건 뭐 스토리가 너무 억지라 설득력도 없고 메세지도 없고 연기가 소름돋는것도 아니고등장인물들이 하는 행동들에 대체 왜?라는 생각만들었습니다. 김무열은 어두우면 방불좀 키지 깝깝해서 속이 답답했고 전개자체가 억지스러워 스릴런데 웃음이 나왔습니다.  차라리 송지효 등에 이름표 떼서 죽이는 설정이 나아보이고 같은영화를 본건데 이게 평점 8점을 웃도는 명작이라는 사람들은 기생충엔 90점 주신거 아닌가요?? 
607,8,2020.06.07 01:49,난 재밋게 봤음 오랜만에 영회관에서 영화봐서 그런듯
608,8,2020.06.06 10:38,송지효 김무열 연기 대박 너무 재밌게 봤어요 심장 쫄깃 하면서 브금이 신박해요 무더운 날 밖에 나간 보람이 있네요
609,2,2020.06.06 07:01,진짜 이거 꼭 올리세요 .. 초반에는 좀 볼만한데 중반 후반 진짜 답도 없습니다
610,1,2020.06.08 10:37,나만..진짜재미없어서..돈 아까워죽을뻔했었나..영화보다가 핸드폰 꺼내서 웹툰 볼뻔했는데..진짜존나재미없었음ㅠㅠ저거다 댓글사기야ㅜㅜ
611,1,2020.06.08 02:56,제발 보지마세요 이거 1위인건 지금 개봉한 영화가 없어서 그런거에요 진짜 노잼이에요 통신사 vip로 봤는데 돈 주고 봤으면 땅을 치고 펑펑 울었을겁니다 평론가들은 재밌고 좋은 영화는 평점 개떡으로 주더니 이런 영화에 평점이 이렇게 후하다니 날로 먹는 좋은 직업이네요 
612,1,2020.06.08 00:10,보다가 암걸려 OO뻔했습니다.부장님 농담 시리즈를 영화로 만드는게 이것보다는 재밌을거같습니다.
613,1,2020.06.07 18:48,영화보다 중간에 별점남기기 처음임
614,2,2020.06.07 00:10,이걸 별다섯개준 후기는 가짜후기. 그냥 씨지비랑 메가박스 실관람평 보세요..하..코로나땜에 안봐야될것을 봐버렸다. 선택의여지가없어서 갔으나..ㅋㅋ1년밖에 안된 친구인 정신과상담의한테 애맡기는거나 무슨중국 무사처럼 인사하는 신흥종교나.ㅋㅋㅋ나중에 진짜 웃다가나왔다.이 시나리오에 제작투자 무슨생각일까... 
615,8,2020.06.06 21:45,재밌어요  굿구수굿굿굿ㄱ수수구숫ㄱ
616,1,2020.06.06 17:19,진짜알바빼고10점적은사람 없다에 내손목아지 건다
617,1,2020.06.06 13:12,이걸 돈주고본다고?...억지로 이것저것 다가져다놨습니다개연성0 긴장감0 모든 스토리 예측가능 영상도 별로고..
618,1,2020.06.06 08:04,이걸 돈주고본다고?...억지로 이것저것 다가져다놨습니다개연성0 긴장감0 모든 스토리 예측가능 영상도 별로고..
619,1,2020.06.06 00:14,정녕 네이버 영화 평점 이 영화 보고 평점 준게 맞나요? 영화속 이단들처럼 알바부대 아닌가요.... 제 돈 돌려주세요... 코로나때문에 자동차극장에서 틀어주는 영화밖에 볼수 없어서 봤는데... 송지효 김무열 두 배우분들 무슨 생각으로 이런 영화를 찍으셨는지요.... 배우들 연기 말고는... 아무것도 없는 영화 입니다. 제 평생 이렇게 한숨 쉬며 답답해하며 영화 본게 처음이네요.... 
620,2,2020.06.04 21:50,비현실적 과한 스토리로 헛웃음..역시 OOO.. 평점으로 낚지마시길
621,1,2020.06.07 21:03,송지효 연기 갠적으로 별로임 예능 이미지가 쎄서 몰입하는데 떨어짐 그리고 결말이 허무함 친동생인지 아닌지 왜 안알려주냐고!!ㅡㅡ
622,6,2020.06.07 19:00,뭔가 확 와닿지않앗어요.그저그래요.올만에 극장가숑봣는데ㅜㅜ.
623,1,2020.06.07 10:11,영화 초반엔 이 이야기를 어떻게 풀어갈까 송지효는 뭘까 이런 기대감이라도 있었는데 개뜬금없이 갑분싸이비 나와서 지읏니은 실망함 개연성도 개연성이지만 마지막에 풍선 색깔로 감성 팔이하는건 좀 추했음 사실성도 개 떨어짐 약을 타서 최면 건다던가 그 짧은 시간만에 살인을 한 집을 치우고 나온다던가 주인공이 어떻게 보면 범죄를 저지른건데 마지막엔 아무일 없다는듯이 친자확인서 지우는 장면 애니메이션에서도 못 볼 판타지성을 보여줌 지금까지 영화관에서 본 제일 재미없는 영화에 손 꼽을 정도 이젠 감독도 보고 영화 봐야할듯 캐비어로 알탕 만들어 먹은 기분 아 알탕도 아니다; 
624,1,2020.06.07 00:21,와 침입자 밟았네... 속지마세요...
625,2,2020.06.07 00:17,아니...다들 영화 안보고 평점 남기는건가?기대되는 캐스팅으로 기대이하를 보여준영화.
626,1,2020.06.07 00:07,아이고 황금같은 토요일 이 늦은시간까지 우리 알바님들 열심히 댓글작업 하느라 고생 많으십니다요~
627,1,2020.06.06 19:08,진짜 어떻게 이런 쓰레기 영화가 평점이 이리 높지..?? 진짜 내 인생에서 탑 3로 재미없고 보던 사람들 다 끝나자마자 개크게 욕하더라 와 제발 시간 빼앗기지 마라
628,1,2020.06.04 22:20,아오 에바야 다알바야 진짜로
629,1,2020.06.06 20:28,"올해 본 영화중 ""최악의 영화"""
630,1,2020.06.07 00:41,진짜재미없네요 코로나때문에 볼게 없어서 봤는데 진짜 재미 없네요
631,8,2020.06.05 21:54,상상도 못한 결말 ..끝까지 궁금증을 자아내네요..
632,1,2020.06.04 20:56,연출이랑 스토리가 놀라울정도로 진부하고 개연성도 없으며 영상미도 할 말이 없다..
633,1,2020.06.09 06:58,진심 이 평점이 맞나요..??  저도 제 평점이 너무 낮은건 아는데 일단 주연들 연기력만 봐줄만해요 조연들은 에휴..떡밥 엄청 던져놓고 회수 안하는게 짜증나네요 중간에 말도 안되는 감동 넣으려고 애쓰는 오글거리는 부분도 있구요 평점맞출라고 1점드려요 제 생각엔 6~7점이 맞아요 제가 초등학생이었음 재밌게 봤을듯요 평점알바에 속지마세요 
634,1,2020.06.05 11:39,"영화 초반부에는 이게 기생충을 따라하는건가...? 싶더니 중반으로 갈수록 개연성없는 스토리와 영화관을 당장이라도 뛰쳐 나가고싶어지는 연출. 온갖 떡밥만 뿌려대고는 회수는 커녕 영화 마지막까지도 다시 나오지않는 배우도 존재. 하나의 영화에 종교,스릴,최면,마약,사기 등등 모든 요소를 짬뽕시켜놓은듯한 느낌. 분명 스릴러지만 영화 중반부터 끝까지 절로 웃음이 나오는 영화. 과연 세계관 최강의 영화라 할 수 있다.  PS)댓글알바만 수백명을 쓰는거라 확신한다. 정상적인 사람이라면 저런 댓글을 쓰는게 절대 불가능하다. "
635,1,2020.06.05 10:38,아니 진짜 왜 평점이 높은지 모르겠네     엄복동은 피했는데 얘는 못피했다 ㅠㅜ
636,1,2020.06.04 23:31,영화댓글 처음 달아보는데 평점 9.41에 어이가 없어서 달아봅니다. 처음에 지루하다가 뭔가 재밌어지려다가 억지스럽게 끝나고 연개성이 하나도 없네요.... 주인공은 절대 안죽는데 그게 그냥 운이 좋거나 이래서 억지스럽게 전개되는 느낌이었습니다. 배우들이 연기만 잘했지 스토리는 엉망이네요...ㅎㅎㅎㅎ B급 삼류 영화 느낌. 결론은 열린결말이라 비밀이 밝혀지지도 않고 허무했습니다.^^.. 한국의 컨저링을 만들어보고자 했나 싶었는데 그냥 소름만 돋다 끝나버렸네요. 댓글 알바 많나봐요 재밌었다고 한 댓글엔 좋아요 막 눌러져있고 저처럼(다들 감상평이 같아서 공감ㅋㅋ..) 비평한 댓글에는 싫어요 여러개.. 
637,4,2020.06.11 12:41,연기력들은 괜찮은데.. 끝나자마자 자리를 박차고 나옴..
638,8,2020.06.09 16:30,연기는 기대이상이었는데 후반부가 살짝 아쉬웠음 전체절으로 좋았음 ㅎㅎ 열린결말?이라 살짝 아쉽
639,7,2020.06.09 09:13,전형적인 삼류 스릴러 영화. 배우들 연기는 좋지만 중후반에 들어 눈에 뻔히 보이는 상업영화. 송지효 연기는 매우 훌륭하나 사이비와 연결해서 영화내용을 전개하기엔 중간중간 어색한 부분이 있음.
640,6,2020.06.08 15:22,Sososososo
641,4,2020.06.07 12:03,그저 그래요오랜만에 극장가서 영화봄
642,6,2020.06.06 16:10,종교적인 소재를 좀 더 깊게 파고들었으면 싶은데 그냥 단순소재로만 쓴거 같아서 아쉽다.
643,10,2020.06.10 20:20,간만에 돌아온 스릴러 퀸 송지효!
